AGE,CREDIT_CARD,CURR_BAL,LOAN_STATUS
26,0,18.24166667,0
51,0,33664.76333,0
47,0,13829.79167,0
48,0,33147.344,0
42,0,9048.713333,0
47,0,20827.76,0
48,0,23606.315,0
51,0,38994.4925,0
44,0,10841.768,0
42,0,16201.37333,0
45,0,13868.02,0
48,0,30344.35333,0
43,0,8243.113333,0
41,0,14690.81333,0
41,0,1218.661667,0
39,0,18825.08667,0
39,0,40261.985,0
39,0,19863.55,0
41,0,1607.631667,0
47,0,3686.578333,0
39,0,19796.9275,0
42,0,20190.18333,0
36,0,12051.415,0
35,0,42036.08333,0
37,0,32360.79333,0
43,0,7571.5625,0
44,0,22015.175,0
35,0,8691.423333,0
42,0,14745.68333,0
42,1,14745.68333,1
39,0,27230.175,0
33,0,24272.39333,0
35,0,32477.678,0
43,0,19089.38333,0
37,0,22690.5,0
38,0,6087.47,0
37,0,9397.618333,0
38,0,30790.7875,0
33,0,15372.78167,0
34,0,34139.82,0
39,0,45046.436,0
36,1,14412.36,1
37,0,3914.841667,0
34,0,37477.93667,0
42,0,29958.83333,0
34,0,20617.68833,0
33,0,6888.563333,0
34,0,19235.53333,0
32,0,33528.76167,0
32,0,4552.781667,0
32,0,1502.778333,0
37,0,32135.02,0
34,0,8643.248333,0
32,0,11870.472,0
36,0,23586.25,0
34,0,138.23,0
33,0,32868.258,0
34,0,7990.236,0
34,0,17394.27,0
36,0,35223.422,0
36,0,15456.65,0
33,0,40805.67,0
33,0,1462.965,0
34,0,9712.646667,0
37,0,3483.616667,0
33,0,19347.84667,0
35,0,31919.446,0
33,0,40759.72333,0
33,0,3293.148333,0
33,0,21460.34833,0
33,0,23527.97,0
35,0,7511.086667,0
38,0,26586.31167,0
30,0,3563.365,0
36,0,42033.624,0
33,0,66.26333333,0
32,0,38850.115,0
31,0,4991.003333,0
42,0,35868.275,0
36,0,7964.691667,0
33,0,25891.102,0
33,0,8442.475,0
31,0,2141.632,0
36,0,3996.146667,0
30,0,11395.60833,0
28,0,1355.35,0
29,0,2020.456667,0
31,0,34841.6875,0
28,0,1832.77,0
29,0,14.99,0
26,0,8768.581667,0
37,0,44462.645,0
33,0,41294.684,0
29,0,5422.551667,0
36,0,21083.60833,0
36,0,17822.27833,0
44,0,7505.663333,0
34,0,6319.063333,0
31,0,5596.845,0
33,0,29966.69333,0
31,0,8460.21,0
34,0,21229.95,0
30,0,36626.88333,0
28,0,332.8066667,0
32,0,38511.37667,0
34,0,1902.401667,0
27,0,342.5833333,0
29,0,346.69,0
40,0,59704.45,0
36,0,27904.165,0
35,0,11036.75667,0
34,0,2515.861667,0
33,0,55025.02667,0
33,0,1313.661667,0
36,0,16158.34833,0
32,0,12142.65167,0
36,0,16588.13167,0
44,0,2563.86,0
49,0,48172.8425,0
48,0,42773.72167,0
37,0,12397.69,0
46,0,13506.43833,0
46,1,13506.43833,1
36,0,15583.28,0
39,0,13142.71,0
42,0,44687.21,0
44,0,13797.525,0
42,0,21330.904,0
42,0,61038.02,0
47,0,8598.626667,0
41,0,18394.238,0
37,0,10340.77,0
40,0,20438.455,0
41,0,15403.865,0
35,0,59536.58667,0
33,0,10503.6,0
37,0,29865.03333,0
35,0,24716.896,0
35,0,10307.86167,0
35,0,25862.48,0
35,0,16.31166667,0
37,0,10.14666667,0
43,0,16845.69333,0
28,0,21788.80667,0
31,0,3643.925,0
31,0,906.8683333,0
32,0,18370.90167,0
34,0,840.3183333,0
32,0,4617.261667,0
32,0,10501.91167,0
32,0,1972.126667,0
33,0,24548.1425,0
32,0,1683.03,0
34,0,3106.325,0
29,0,3395.731667,0
42,0,28013.36,0
29,0,3502.728333,0
30,0,4285.671667,0
39,0,18578.755,0
32,0,13622.465,0
31,0,4967.85,0
33,0,15407.23,0
33,0,13928.62833,0
35,0,2203.79,0
28,0,1631.435,0
27,0,60.705,0
27,1,60.705,0
28,0,14342.4,0
26,0,6765.678333,0
34,0,14968.82167,0
28,0,10783.675,0
31,0,11535.68833,0
29,0,129.9433333,0
33,0,341.4,0
34,0,18748.37667,0
35,0,34034.26333,0
33,0,22219.935,0
33,0,32969.57333,0
39,0,6518.586667,0
33,0,2270,0
30,0,0.901666667,0
30,0,31475.12167,0
30,0,34764.04,0
30,0,44267.366,0
32,0,16514.315,0
33,0,10828.11333,0
33,0,4049.808333,0
31,0,15230.325,0
42,0,41130.34,0
28,0,4960.636667,0
35,0,11527.54333,0
35,0,1039.318333,0
43,0,17276.70833,0
44,0,1310.278333,0
44,0,18008.875,0
50,0,31054.71,0
43,0,24999.66833,0
43,0,15718.96,0
39,0,12371.065,0
37,0,1802.358333,0
33,0,14082.115,0
33,1,14082.115,1
33,0,23365.305,0
33,0,25543.52667,0
34,0,2110.316667,0
28,0,18157.20833,0
31,0,5101.368333,0
28,0,12651.89833,0
31,0,6970.39,0
31,0,8154.805,0
50,0,5688.293333,0
48,0,23780.885,0
37,0,9809.696667,0
45,0,8334.57,0
38,0,32908.125,0
40,0,11535.79167,0
41,0,1066.83,0
49,0,19893.236,0
42,0,17694.56167,0
42,0,19489.245,0
42,0,4746.886667,0
41,0,1627.446667,0
43,0,1418.216,0
27,0,333.7066667,0
32,0,5252.333333,0
45,0,23197.28167,0
49,0,64378.87,0
39,0,14844.21,0
